MovieId,Movie Name,WikiUrl,actors,Keywords,TwitterHandles,BuffUrl,ImdbUrl,ReviewsUrl,TimesUrl,QuotesUrl,LyricsUrl,BoxOffice
32,Fugly,https://en.wikipedia.org/wiki/Fugly_(2014_film),Jimmy Shergill;Mohit Marwah;Kiara Advani;Vijender Singh;Arfi Lamba,Fugly review,FuglyTheFilm,http://www.moviebuff.com/fugly,http://www.imdb.com/title/tt3683702/,http://reviewschview.com/fugly/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Fugly/movie-review/36484782.cms,http://www.filmyquotes.com/movies/766,http://www.lyricsmint.com/2014/05/fugly.html,http://www.boxofficeindia.com/Movies/movie_detail/fugly
33,Humshakals,https://en.wikipedia.org/wiki/Humshakals,Saif Ali Khan;Riteish Deshmukh;Bipasha Basu;Tamannaah Bhatia;Esha Gupta;Ram Kapoor,Humshakals,humshakals,http://www.moviebuff.com/humshakals,http://www.imdb.com/title/tt3036740/,http://reviewschview.com/humshakals/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Humshakals/movie-review/36879647.cms,http://www.filmyquotes.com/movies/684,http://www.lyricsmint.com/2014/05/humshakals.html,http://boxofficeindia.com/Movies/movie_detail/humshakals
34,EkVillain,https://en.wikipedia.org/wiki/Ek_Villain,Sidharth Malhotra;Shraddha Kapoor;Riteish Deshmukh,EkVillain; Ek Villain,EkVillainTweets,http://www.moviebuff.com/ek-villain,http://www.imdb.com/title/tt3175038/,http://reviewschview.com/ek-villain/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Ek-Villain/movie-review/37267702.cms,http://www.filmyquotes.com/movies/670,http://www.lyricsmint.com/2014/05/ek-villain.html,http://boxofficeindia.com/Movies/movie_detail/ek_villian
35,BobbyJasoos,https://en.wikipedia.org/wiki/Bobby_Jasoos,Vidya Balan;Ali Fazal,bobbyjasoos; bobby jasoos,bobbyjasoos,http://www.moviebuff.com/bobby-jasoos,http://www.imdb.com/title/tt3359290/,http://reviewschview.com/bobby-jasoos/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Bobby-Jasoos/movie-review/37770408.cms,http://www.filmyquotes.com/movies/763,http://www.lyricsmint.com/2014/06/jashn-bobby-jasoos.html,http://www.boxofficeindia.com/Movies/movie_detail/bobby_jasoos
36,LekarHumDeewanaDil,https://en.wikipedia.org/wiki/Lekar_Hum_Deewana_Dil,Armaan Jain;Deeksha Seth,LekarHumDeewanaDil; Lekar Hum Deewana Dil,LHDDTheFilm,http://www.moviebuff.com/lekar-hum-deewana-dil,http://www.imdb.com/title/tt3716142/,http://reviewschview.com/lekar-hum-deewana-dil/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Lekar-Hum-Deewana-Dil/movie-review/37695384.cms,http://www.filmyquotes.com/movies/744,http://www.lyricsmint.com/2014/06/lekar-hum-deewana-dil.html,http://boxofficeindia.com/Movies/movie_detail/lekar_hum_deewana_dil#.Vj3Q5XW1Gko
37,HumptySharmaKiDulhania,https://en.wikipedia.org/wiki/Humpty_Sharma_Ki_Dulhania,Alia Bhatt;Varun Dhawan;Ashutosh Rana;Siddharth Shukla,Humpty Sharma Ki Dulhania,HSKDOfficial,http://www.moviebuff.com/humpty-sharma-ki-dulhania,http://www.imdb.com/title/tt3678938/,http://reviewschview.com/humpty-sharma-ki-dulhania/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Humpty-Sharma-Ki-Dulhania/movie-review/38134885.cms,http://www.filmyquotes.com/movies/674,http://www.lyricsmint.com/2014/06/humpty-sharma-ki-dulhania.html,http://www.boxofficeindia.com/Movies/movie_detail/humpty_sharma_ki_dulhania
38,HateStory2,https://en.wikipedia.org/wiki/Hate_Story_2,Sushant Singh;Surveen Chawla;Jay Bhanushali,HateStory2; Hate Story 2,HateStoryTwo,http://www.moviebuff.com/hate-story-2,http://www.imdb.com/title/tt3619772/,http://reviewschview.com/hate-story-2/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Hate-Story-2/movie-review/38624587.cms,http://www.filmyquotes.com/movies/690,http://www.lyricsmint.com/2014/06/hate-story-2.html,http://boxofficeindia.com/Movies/movie_detail/hate_story_2
39,Riyasat,https://en.wikipedia.org/wiki/Riyasat_(film),Rajesh Khanna;Aryan Vaid;Raza Murad,Riyasat review,None,http://www.moviebuff.com/riyasat,http://www.imdb.com/title/tt2283894/,http://reviewschview.com/riyasat/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Riyasat/movie-review/38624098.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/riyasat
40,SinghamReturns,https://en.wikipedia.org/wiki/Singham_Returns,Ajay Devgan;Kareena Kapoor Khan;Amole Gupte;Anupam Kher;Dayanand Shetty;Sameer Dharmadhikari;Ashwini Kalsekar;Sharat Saxena;Zakir Hussain;Mahesh Manjrekar;Sonalee Kulkarni;Jitendra Joshi,SinghamReturns; Singham Returns; Singham,Singham2Movie,http://www.moviebuff.com/singham-returns,http://www.imdb.com/title/tt2309764/,http://reviewschview.com/singham-returns/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Singham-Returns/movie-review/40307494.cms,http://www.filmyquotes.com/movies/692,http://www.lyricsmint.com/2014/08/singham-returns.html,http://www.boxofficeindia.com/Movies/movie_detail/singham_returns
41,Mardaani,https://en.wikipedia.org/wiki/Mardaani,Rani Mukerji;Tahir Raj Bhasin;Jisshu Sengupta,Mardaani,MardaaniTheFilm,http://www.moviebuff.com/mardaani,http://www.imdb.com/title/tt3495000/,http://reviewschview.com/mardaani/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Mardaani/movie-review/40687296.cms,http://www.filmyquotes.com/movies/762,http://www.lyricsmint.com/2014/08/mardaani-anthem.html,http://www.boxofficeindia.com/Movies/movie_detail/mardaani
